relation_id,cert_id,major_id,is_active
cmj_00226,cert_1091,major_qnet_7122,True
cmj_00227,cert_1091,major_qnet_5377,True
cmj_00228,cert_0044,major_qnet_5377,True
cmj_00229,cert_0123,major_qnet_5377,True
cmj_00230,cert_0121,major_qnet_5377,True
cmj_00231,cert_0902,major_qnet_5377,True
cmj_00232,cert_0261,major_qnet_5377,True
cmj_00233,cert_0258,major_qnet_5377,True
cmj_00234,cert_1093,major_qnet_5377,True
cmj_00235,cert_0546,major_qnet_5377,True
cmj_00236,cert_1290,major_qnet_5377,True
cmj_00237,cert_0689,major_qnet_5148,True
cmj_00238,cert_0691,major_qnet_5148,True
cmj_00239,cert_0685,major_qnet_5148,True
cmj_00240,cert_0687,major_qnet_5148,True
cmj_00241,cert_0388,major_qnet_5148,True
cmj_00242,cert_0389,major_qnet_5148,True
cmj_00243,cert_0840,major_qnet_7122,True
cmj_00244,cert_0840,major_qnet_5201,True
cmj_00245,cert_0932,major_qnet_7122,True
cmj_00246,cert_0932,major_qnet_5201,True
cmj_00247,cert_0933,major_qnet_7122,True
cmj_00248,cert_0933,major_qnet_5201,True
cmj_00249,cert_0934,major_qnet_7122,True
cmj_00250,cert_0934,major_qnet_5201,True
cmj_00251,cert_0711,major_qnet_5201,True
cmj_00252,cert_0937,major_qnet_5201,True
cmj_00253,cert_0944,major_qnet_5201,True
cmj_00254,cert_0744,major_qnet_5201,True
cmj_00255,cert_0730,major_qnet_5201,True
cmj_00256,cert_0751,major_qnet_5201,True
cmj_00257,cert_0752,major_qnet_5201,True
cmj_00258,cert_0939,major_qnet_5201,True
cmj_00259,cert_0938,major_qnet_5201,True
cmj_00260,cert_1201,major_qnet_5201,True
cmj_00261,cert_0678,major_qnet_7122,True
cmj_00262,cert_0678,major_qnet_5201,True
cmj_00263,cert_0940,major_qnet_6564,True
cmj_00264,cert_0032,major_qnet_6564,True
cmj_00265,cert_0034,major_qnet_6564,True
cmj_00266,cert_0036,major_qnet_6564,True
cmj_00267,cert_0037,major_qnet_6564,True
cmj_00268,cert_0020,major_qnet_6564,True
cmj_00269,cert_0021,major_qnet_6564,True
cmj_00270,cert_0022,major_qnet_6564,True
cmj_00271,cert_0024,major_qnet_6564,True
cmj_00272,cert_0027,major_qnet_6564,True
cmj_00273,cert_0028,major_qnet_6564,True
cmj_00274,cert_0029,major_qnet_6564,True
cmj_00275,cert_0030,major_qnet_6564,True
cmj_00276,cert_0031,major_qnet_6564,True
cmj_00277,cert_0051,major_qnet_6564,True
cmj_00278,cert_0052,major_qnet_6564,True
cmj_00279,cert_0053,major_qnet_6564,True
cmj_00280,cert_0071,major_qnet_6564,True
cmj_00281,cert_0059,major_qnet_6564,True
cmj_00282,cert_0376,major_qnet_6564,True
cmj_00283,cert_0377,major_qnet_6564,True
cmj_00284,cert_0384,major_qnet_6564,True
cmj_00285,cert_0129,major_qnet_6564,True
cmj_00286,cert_0185,major_qnet_6564,True
cmj_00287,cert_0186,major_qnet_6564,True
cmj_00288,cert_0101,major_qnet_6564,True
cmj_00289,cert_0128,major_qnet_6564,True
cmj_00290,cert_0139,major_qnet_6564,True
cmj_00291,cert_0141,major_qnet_6564,True
cmj_00292,cert_0142,major_qnet_6564,True
cmj_00293,cert_0144,major_qnet_6564,True
cmj_00294,cert_0145,major_qnet_6564,True
cmj_00295,cert_0146,major_qnet_6564,True
cmj_00296,cert_0164,major_qnet_6564,True
cmj_00297,cert_0198,major_qnet_6564,True
cmj_00298,cert_0200,major_qnet_6564,True
cmj_00299,cert_0148,major_qnet_6564,True
cmj_00300,cert_0265,major_qnet_6564,True
cmj_00301,cert_0266,major_qnet_6564,True
cmj_00302,cert_0277,major_qnet_6564,True
cmj_00303,cert_0309,major_qnet_6564,True
cmj_00304,cert_0310,major_qnet_6564,True
cmj_00305,cert_0332,major_qnet_6564,True
cmj_00306,cert_0232,major_qnet_6564,True
cmj_00307,cert_0264,major_qnet_6564,True
cmj_00308,cert_0283,major_qnet_6564,True
cmj_00309,cert_0285,major_qnet_6564,True
cmj_00310,cert_0286,major_qnet_6564,True
cmj_00311,cert_0287,major_qnet_6564,True
cmj_00312,cert_0308,major_qnet_6564,True
cmj_00313,cert_0323,major_qnet_6564,True
cmj_00314,cert_0324,major_qnet_6564,True
cmj_00315,cert_0289,major_qnet_6564,True
cmj_00316,cert_0558,major_qnet_6564,True
cmj_00317,cert_0560,major_qnet_6564,True
cmj_00318,cert_0561,major_qnet_6564,True
cmj_00319,cert_0563,major_qnet_6564,True
cmj_00320,cert_0566,major_qnet_6564,True
cmj_00321,cert_0568,major_qnet_6564,True
cmj_00322,cert_0569,major_qnet_6564,True
cmj_00323,cert_0572,major_qnet_6564,True
cmj_00324,cert_0573,major_qnet_6564,True
cmj_00325,cert_0574,major_qnet_6564,True
cmj_00326,cert_0575,major_qnet_6564,True
cmj_00327,cert_0576,major_qnet_6564,True
cmj_00328,cert_0577,major_qnet_6564,True
cmj_00329,cert_0578,major_qnet_6564,True
cmj_00330,cert_0497,major_qnet_6564,True
cmj_00331,cert_0553,major_qnet_6564,True
