udeptcd,udeptnm,udeptmdobligcd,udeptmdoblignm,udeptobligcd,udeptoblignm
1150,건축환경디자인(과ㆍ학과ㆍ계열),141,건축,14,건설
1150,건축환경디자인(과ㆍ학과ㆍ계열),143,조경,14,건설
1153,건축환경생명공학부,141,건축,14,건설
1153,건축환경생명공학부,142,토목,14,건설
1154,건축환경설계과,141,건축,14,건설
1154,건축환경설계과,261,환경,26,환경.에너지
1155,"건축환경설비(과,학과)",141,건축,14,건설
1155,"건축환경설비(과,학과)",162,기계장비설비.설치,16,기계
1155,"건축환경설비(과,학과)",261,환경,26,환경.에너지
1156,"건축환경시스템(과,학부)",141,건축,14,건설
1156,"건축환경시스템(과,학부)",261,환경,26,환경.에너지
1157,건축환경토목공학과군,141,건축,14,건설
1157,건축환경토목공학과군,142,토목,14,건설
1157,건축환경토목공학과군,261,환경,26,환경.에너지
1158,건축환경화학공학군,141,건축,14,건설
1158,건축환경화학공학군,181,화공,18,화학
1158,건축환경화학공학군,261,환경,26,환경.에너지
1159,"게임(전공,학과,학부)",082,디자인,8,문화.예술.디자인.방송
1159,"게임(전공,학과,학부)",202,전자,20,전기.전자
1160,"게임,멀티미디어공학전공",082,디자인,8,문화.예술.디자인.방송
1160,"게임,멀티미디어공학전공",202,전자,20,전기.전자
1161,"게임,미디어전공",082,디자인,8,문화.예술.디자인.방송
1161,"게임,미디어전공",202,전자,20,전기.전자
1162,"게임,소프트웨어전공",082,디자인,8,문화.예술.디자인.방송
1162,"게임,소프트웨어전공",202,전자,20,전기.전자
1163,"게임,애니메이션학과",082,디자인,8,문화.예술.디자인.방송
1163,"게임,애니메이션학과",202,전자,20,전기.전자
1164,"게임개발공학(과,전공)",082,디자인,8,문화.예술.디자인.방송
1164,"게임개발공학(과,전공)",202,전자,20,전기.전자
1165,"게임공학(과,전공)",082,디자인,8,문화.예술.디자인.방송
1165,"게임공학(과,전공)",202,전자,20,전기.전자
1166,게임그래픽디자인전공,082,디자인,8,문화.예술.디자인.방송
1166,게임그래픽디자인전공,202,전자,20,전기.전자
1167,"게임기획학(과,전공)",082,디자인,8,문화.예술.디자인.방송
1167,"게임기획학(과,전공)",202,전자,20,전기.전자
1168,게임디자인공학(과ㆍ전공),082,디자인,8,문화.예술.디자인.방송
1168,게임디자인공학(과ㆍ전공),202,전자,20,전기.전자
1169,게임디자인컨텐츠표준전공,082,디자인,8,문화.예술.디자인.방송
1169,게임디자인컨텐츠표준전공,202,전자,20,전기.전자
1171,게임디지털컨텐츠전공,082,디자인,8,문화.예술.디자인.방송
1171,게임디지털컨텐츠전공,202,전자,20,전기.전자
1172,"게임멀티미디어(전공,학과)",082,디자인,8,문화.예술.디자인.방송
1172,"게임멀티미디어(전공,학과)",202,전자,20,전기.전자
1173,게임소프트웨어(공학)전공,202,전자,20,전기.전자
1175,게임ㆍ멀티미디어(공학)전공,082,디자인,8,문화.예술.디자인.방송
1175,게임ㆍ멀티미디어(공학)전공,202,전자,20,전기.전자
1176,"게임애니메이션(과,전공,학과,학부)",082,디자인,8,문화.예술.디자인.방송
1176,"게임애니메이션(과,전공,학과,학부)",202,전자,20,전기.전자
1177,"게임웨어(과,학과)",082,디자인,8,문화.예술.디자인.방송
1177,"게임웨어(과,학과)",202,전자,20,전기.전자
1178,"게임제작(계열,학과,전공)",082,디자인,8,문화.예술.디자인.방송
1178,"게임제작(계열,학과,전공)",202,전자,20,전기.전자
1179,게임창작과,082,디자인,8,문화.예술.디자인.방송
1179,게임창작과,202,전자,20,전기.전자
1180,게임컨설팅과,082,디자인,8,문화.예술.디자인.방송
1180,게임컨설팅과,202,전자,20,전기.전자
1181,"게임컨텐츠전공(게임콘텐츠전공,스쿨)",082,디자인,8,문화.예술.디자인.방송
1181,"게임컨텐츠전공(게임콘텐츠전공,스쿨)",202,전자,20,전기.전자
1182,게임프로그래밍학과,082,디자인,8,문화.예술.디자인.방송
1182,게임프로그래밍학과,202,전자,20,전기.전자
1183,게임PD전공,082,디자인,8,문화.예술.디자인.방송
1183,게임PD전공,202,전자,20,전기.전자
1184,경영공학과,024,생산관리,2,경영.회계.사무
1185,"경영정보시스템(과,전공)",024,생산관리,2,경영.회계.사무
1185,"경영정보시스템(과,전공)",211,정보기술,21,정보통신
1186,"경영정보전공(학, 학과, 부)",024,생산관리,2,경영.회계.사무
1186,"경영정보전공(학, 학과, 부)",211,정보기술,21,정보통신
1187,경영통계학전공,211,정보기술,21,정보통신
1188,경찰사이버보안과,202,전자,20,전기.전자
1188,경찰사이버보안과,211,정보기술,21,정보통신
1189,계산통계학과,202,전자,20,전기.전자
1189,계산통계학과,211,정보기술,21,정보통신
1190,계측정보처리전공,202,전자,20,전기.전자
1191,계측정보처리전공,211,정보기술,21,정보통신
1192,계측제어과,202,전자,20,전기.전자
1193,"고분자(과,공학과,공학전공)",171,금속.재료,17,재료
1193,"고분자(과,공학과,공학전공)",181,화공,18,화학
1194,고분자및섬유공학전공,181,화공,18,화학
1195,고분자섬유디자인공학부,181,화공,18,화학
1195,고분자섬유디자인공학부,191,섬유,19,섬유.의복
1196,"고분자시스템공학(과, 전공)",181,화공,18,화학
1197,고분자신소재공학전공,181,화공,18,화학
1198,고분자ㆍ나노공학전공,181,화공,18,화학
1198,고분자ㆍ나노공학전공,202,전자,20,전기.전자
1199,고분자ㆍ섬유신소재전공,181,화공,18,화학
1199,고분자ㆍ섬유신소재전공,191,섬유,19,섬유.의복
1200,고분자재료공학전공,181,화공,18,화학
1201,고분자정밀화학공학과,181,화공,18,화학
1202,고분자학과,181,화공,18,화학
1203,고분자화학공학부,181,화공,18,화학
1204,고속전기철도과,163,철도,16,기계
1204,고속전기철도과,201,전기,20,전기.전자
1205,골프코스관리과,143,조경,14,건설
1206,공간관리계열,141,건축,14,건설
1206,공간관리계열,142,토목,14,건설
1207,"공간디자인(학부,전공,학과)",082,디자인,8,문화.예술.디자인.방송
1207,"공간디자인(학부,전공,학과)",141,건축,14,건설
1208,공간리모델링과,141,건축,14,건설
1209,공간사회환경공학부,141,건축,14,건설
1209,공간사회환경공학부,142,토목,14,건설
1209,공간사회환경공학부,261,환경,26,환경.에너지
1210,공간시스템공학부,141,건축,14,건설
1210,공간시스템공학부,142,토목,14,건설
1211,공간연출과,082,디자인,8,문화.예술.디자인.방송
1211,공간연출과,141,건축,14,건설
1212,"공간연출디자인(과,전공)",141,건축,14,건설
1213,공간예술과,141,건축,14,건설
1214,공간조형디자인전공,141,건축,14,건설
1215,공간조형학부,141,건축,14,건설
1216,공간진단학부,141,건축,14,건설
1217,"공간환경(전공,학부)",141,건축,14,건설
1217,"공간환경(전공,학부)",261,환경,26,환경.에너지
1218,공간환경디자인전공,141,건축,14,건설
1218,공간환경디자인전공,261,환경,26,환경.에너지
1219,"공간환경시스템(공학부,전공)",141,건축,14,건설
1219,"공간환경시스템(공학부,전공)",261,환경,26,환경.에너지
1220,공단유지보수전공,162,기계장비설비.설치,16,기계
1221,공업경영과,024,생산관리,2,경영.회계.사무
1222,공업교육계열,024,생산관리,2,경영.회계.사무
1223,"공업디자인(과,전공,학과)",082,디자인,8,문화.예술.디자인.방송
1223,"공업디자인(과,전공,학과)",232,목재.가구.공예,23,인쇄.목재.가구.공예
1224,"공업화학(과,전공)",181,화공,18,화학
1224,"공업화학(과,전공)",261,환경,26,환경.에너지
1224,"공업화학(과,전공)",262,에너지.기상,26,환경.에너지
1225,공업화학·화학공학·섬유패션학과군,181,화공,18,화학
