cert_id,cert_name,canonical_name,normalized_key,aliases,issuer,is_active,cert_type,grade_name,primary_domain,top_domain,domain_name_raw,source,written_avg_pass_rate,practical_avg_pass_rate,avg_pass_rate_3yr
48,도시계획기술사,도시계획기술사,도시계획기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,도시.교통,qnet_major_list_2025,3.6,59.43333333333334,64.27
49,"대기관리,수질관리,소음진동기술사","대기관리,수질관리,소음진동기술사","대기관리,수질관리,소음진동기술사",,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,환경,qnet_major_list_2025,,,40.2
50,조경기술사,조경기술사,조경기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,조경,qnet_major_list_2025,5.9,46.15,35.0
51,측량및지형공간정보기술사,측량및지형공간정보기술사,측량및지형공간정보기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,10.35,44.55,40.6
52,지적기술사,지적기술사,지적기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,5.7,33.65,42.42
53,해양기술사,해양기술사,해양기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,13.3,50.0,37.28
54,수산양식기술사,수산양식기술사,수산양식기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,어업,qnet_major_list_2025,44.4,33.3,66.1
55,어업기술사,어업기술사,어업기술사,,Q-Net,True,국가기술자격,기술사,38,1차산업/자원,어업,qnet_major_list_2025,38.5,80.0,81.67
56,기계안전기술사,기계안전기술사,기계안전기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,7.6,42.650000000000006,27.7
57,화공안전기술사,화공안전기술사,화공안전기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,6.300000000000001,42.75,23.37
58,전기안전기술사,전기안전기술사,전기안전기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,13.9,33.0,21.58
59,건설안전기술사,건설안전기술사,건설안전기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,4.166666666666667,32.9,24.53
60,소방기술사,소방기술사,소방기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,0.8333333333333334,29.7,22.28
61,산업위생관리기술사,산업위생관리기술사,산업위생관리기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,12.85,18.25,16.68
62,가스기술사,가스기술사,가스기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,안전관리,qnet_major_list_2025,42.6,53.8,40.5
63,공장관리기술사,공장관리기술사,공장관리기술사,,Q-Net,True,국가기술자격,기술사,17,경영/비즈니스,생산관리,qnet_major_list_2025,34.8,41.9,38.38
64,품질관리기술사,품질관리기술사,품질관리기술사,,Q-Net,True,국가기술자격,기술사,17,경영/비즈니스,생산관리,qnet_major_list_2025,17.25,35.25,33.17
65,포장기술사,포장기술사,포장기술사,,Q-Net,True,국가기술자격,기술사,17,경영/비즈니스,생산관리,qnet_major_list_2025,31.3,31.3,41.45
66,세라믹기술사,세라믹기술사,세라믹기술사,,Q-Net,True,국가기술자격,기술사,7,엔지니어링/산업기술,금속.재료,qnet_major_list_2025,66.7,100.0,30.48
