statisYy,jmCd,jmNm,grdCd,grdNm,mdobligFldCd,mdobligFldNm,mjrYnCcd,accumAcquCnt,yy1AcquCnt,yy2AcquCnt,yy3AcquCnt,yy4AcquCnt,yy5AcquCnt,yy6AcquCnt
2025,1140,화약류관리기사,30,기사,151,채광,N,3912,3511,73,75,88,81,84
2025,1150,전기기사,30,기사,201,전기,N,172751,117112,9923,12904,8775,10117,13920
2025,1160,전기공사기사,30,기사,201,전기,N,110727,86735,4511,6041,5315,3461,4664
2025,1170,전자기사,30,기사,202,전자,N,8780,8572,63,54,54,25,12
2025,1175,반도체설계기사,30,기사,202,전자,N,116,110,6,0,0,0,0
2025,1176,의공기사,30,기사,202,전자,N,2666,1788,317,186,196,102,77
2025,1177,로봇기구개발기사,30,기사,202,전자,N,32,1,1,3,11,7,9
2025,1178,로봇소프트웨어개발기사,30,기사,202,전자,N,42,1,6,5,13,5,12
2025,1179,로봇하드웨어개발기사,30,기사,202,전자,N,10,0,1,2,1,1,5
2025,1192,정보통신기사,30,기사,213,통신,N,13115,13115,0,0,0,0,0
2025,1194,방송통신기사,30,기사,212,방송.무선,N,196,196,0,0,0,0,0
2025,1200,무선설비기사,30,기사,212,방송.무선,N,30872,30872,0,0,0,0,0
2025,1220,조선기사,30,기사,164,조선,N,1519,1443,33,43,0,0,0
2025,1221,조선선체기사,30,기사,164,조선,N,70,0,0,0,23,21,26
2025,1222,조선의장기사,30,기사,164,조선,N,31,0,0,0,5,9,17
2025,1240,항공기사,30,기사,165,항공,N,705,693,1,3,1,2,5
2025,1250,토목기사,30,기사,142,토목,N,134631,119897,2948,2515,3365,2220,3686
2025,1282,실내건축기사,30,기사,141,건축,N,19579,13686,1226,1142,1138,1154,1233
2025,1290,섬유기사1급,30,기사,191,섬유,N,1197,1197,0,0,0,0,0
2025,1291,섬유기계기사,30,기사,191,섬유,N,65,65,0,0,0,0,0
2025,1292,염색가공기사,30,기사,191,섬유,N,112,112,0,0,0,0,0
2025,1293,방사기사,30,기사,191,섬유,N,37,37,0,0,0,0,0
2025,1297,섬유기사,30,기사,191,섬유,N,110,105,2,0,3,0,0
2025,1300,생사기사,30,기사,191,섬유,N,17,17,0,0,0,0,0
2025,1301,의류기사,30,기사,191,섬유,N,680,629,22,6,4,4,15
