jobdicSeq,직업명,학과명,자격증명,자격증ID,jobID
475,아이티(IT)교육강사,"디지털디자인과, 컴퓨터공학과, 컴퓨터교육과, 컴퓨터소프트웨어과",정보처리산업기사,T652,761
475,아이티(IT)교육강사,"디지털디자인과, 컴퓨터공학과, 컴퓨터교육과, 컴퓨터소프트웨어과",정보처리기사,T651,762
475,아이티(IT)교육강사,"디지털디자인과, 컴퓨터공학과, 컴퓨터교육과, 컴퓨터소프트웨어과",컴퓨터 활용능력 1급,,763
475,아이티(IT)교육강사,"디지털디자인과, 컴퓨터공학과, 컴퓨터교육과, 컴퓨터소프트웨어과",컴퓨터 활용능력 2급,,764
475,아이티(IT)교육강사,"디지털디자인과, 컴퓨터공학과, 컴퓨터교육과, 컴퓨터소프트웨어과",컴퓨터그래픽기능사,T082,765
475,아이티(IT)교육강사,"디지털디자인과, 컴퓨터공학과, 컴퓨터교육과, 컴퓨터소프트웨어과",전자상거래 관리사,,766
476,무선주파수(RF)엔지니어,"전기전자공학과, 전자공학과, 정보통신공학과",무선설비기능사,T340,767
476,무선주파수(RF)엔지니어,"전기전자공학과, 전자공학과, 정보통신공학과",무선설비산업기사,T342,768
476,무선주파수(RF)엔지니어,"전기전자공학과, 전자공학과, 정보통신공학과",무선설비기사,T341,769
481,교장,"과학교육과, 교육학과, 국어교육과, 독일어교육과, 물리교육과, 미술교육과, 불어교육과, 생물교육과, 수학교육과, 역사교육과, 윤리교육과, 일반사회교육과, 지구과학교육과, 지리교육과, 체육교육과, 초등교육과, 한문교육과, 화학교육과","중등학교 2급 정교사, 중등학교 1급 정교사",,770
539,소음진동기술자,"보건환경과, 환경공학과, 환경과학과, 환경보건학과, 환경시스템과",소음진동산업기사,T448,771
539,소음진동기술자,"보건환경과, 환경공학과, 환경과학과, 환경보건학과, 환경시스템과",소음진동기사,T446,772
539,소음진동기술자,"보건환경과, 환경공학과, 환경과학과, 환경보건학과, 환경시스템과",소음진동기술사,T447,773
592,크레인 및 호이스트운전원,"기계공학과, 기계과, 자동차공학과, 자동차과, 전기공학과, 전기과, 전기전자과",기중기운전기능사,T298,774
592,크레인 및 호이스트운전원,"기계공학과, 기계과, 자동차공학과, 자동차과, 전기공학과, 전기과, 전기전자과",천장크레인운전기능사,T039,775
626,여행상품개발원,"관광경영학과, 관광통역과, 문화관광과, 호텔경영과",관광통역안내사,,776
740,귀금속 및 보석세공원,"공예과, 공예학과, 금속공예과, 금속공예학과, 산업디자인과, 산업디자인학과, 시각디자인과, 시각디자인학과",귀금속가공기능사,T265,777
740,귀금속 및 보석세공원,"공예과, 공예학과, 금속공예과, 금속공예학과, 산업디자인과, 산업디자인학과, 시각디자인과, 시각디자인학과",귀금속가공기능장,T266,778
740,귀금속 및 보석세공원,"공예과, 공예학과, 금속공예과, 금속공예학과, 산업디자인과, 산업디자인학과, 시각디자인과, 시각디자인학과",보석가공기능사,T372,779
740,귀금속 및 보석세공원,"공예과, 공예학과, 금속공예과, 금속공예학과, 산업디자인과, 산업디자인학과, 시각디자인과, 시각디자인학과",귀금속가공산업기사,T267,780
795,호텔지배인,"관광경영과, 관광경영학과, 문화관광과, 호텔경영과",호텔관리사,S259,781
795,호텔지배인,"관광경영과, 관광경영학과, 문화관광과, 호텔경영과",호텔경영사,S257,782
795,호텔지배인,"관광경영과, 관광경영학과, 문화관광과, 호텔경영과",호텔서비스사,S261,783
834,시스템소프트웨어개발자,"시스템공학과, 컴퓨터공학과, 컴퓨터응용기계과",전자계산기기능사,T624,784
834,시스템소프트웨어개발자,"시스템공학과, 컴퓨터공학과, 컴퓨터응용기계과",정보처리기능사,T650,785
834,시스템소프트웨어개발자,"시스템공학과, 컴퓨터공학과, 컴퓨터응용기계과",전자계산기기사,T625,786
834,시스템소프트웨어개발자,"시스템공학과, 컴퓨터공학과, 컴퓨터응용기계과",정보처리산업기사,T652,787
834,시스템소프트웨어개발자,"시스템공학과, 컴퓨터공학과, 컴퓨터응용기계과",컴퓨터시스템응용기술사,T084,788
834,시스템소프트웨어개발자,"시스템공학과, 컴퓨터공학과, 컴퓨터응용기계과",정보처리기사,T651,789
834,시스템소프트웨어개발자,"시스템공학과, 컴퓨터공학과, 컴퓨터응용기계과",전자계산기제어산업기사,T627,790
911,조명기사,"방송영상과, 방송제작과, 연극영화과, 연극영화학과, 전기공학과, 전기과, 전기전자공학과, 전자공학과, 전자과",무대예술전문인(무대기계),,791
911,조명기사,"방송영상과, 방송제작과, 연극영화과, 연극영화학과, 전기공학과, 전기과, 전기전자공학과, 전자공학과, 전자과",무대예술전문인(조명),,792
911,조명기사,"방송영상과, 방송제작과, 연극영화과, 연극영화학과, 전기공학과, 전기과, 전기전자공학과, 전자공학과, 전자과",무대예술전문인(음향),,793
914,영화시나리오작가,"국어국문학과, 문예창작과, 문예창작학과, 신문방송학과",,,794
915,음향기사,음향제작과,,,795
916,특수효과기술자,"시각디자인과, 시각디자인학과",,,796
917,음반기획자,"실용음악과, 실용음악학과, 음악과, 음악학과",,,797
920,애니메이션기획자,"만화애니메이션학과, 애니메이션과",,,798
922,애니메이션작가,"국어국문학과, 만화애니메이션학과, 문예창작과, 문예창작학과, 애니메이션과",,,799
923,게임기획자,"응용소프트웨어공학과, 전자공학과, 정보통신공학과, 컴퓨터공학과",게임기획전문가,M135,800
926,출판편집자,"국어국문학과, 미디어출판과",,,801
927,북디자이너,"디지털디자인과, 시각디자인과, 시각디자인학과, 컴퓨터디자인학과",시각디자인산업기사,T469,802
927,북디자이너,"디지털디자인과, 시각디자인과, 시각디자인학과, 컴퓨터디자인학과",시각디자인기사,T468,803
927,북디자이너,"디지털디자인과, 시각디자인과, 시각디자인학과, 컴퓨터디자인학과",컴퓨터그래픽기능사,T082,804
928,영업원,"경영학과, 국제통상학과, 마케팅경영과, 무역학과",,,805
929,공예원,"공예과, 공예디자인학과, 공예학과, 금속공예과, 금속공예학과, 도자기공예과, 산업디자인과, 산업디자인학과",목공예기능사,T337,806
929,공예원,"공예과, 공예디자인학과, 공예학과, 금속공예과, 금속공예학과, 도자기공예과, 산업디자인과, 산업디자인학과",도자공예기능사,T325,807
929,공예원,"공예과, 공예디자인학과, 공예학과, 금속공예과, 금속공예학과, 도자기공예과, 산업디자인과, 산업디자인학과",석공예기능사,T423,808
933,사회학연구원,사회학과,,,809
934,사회단체활동가,사회학과,,,810
937,시각디자이너,"공업디자인과, 공업디자인학과, 공예과, 공예학과, 광고디자인과, 디지털디자인과, 산업디자인과, 산업디자인학과, 시각디자인과, 시각디자인학과, 조형디자인학과, 컴퓨터디자인학과, 패션디자인과",시각디자인산업기사,T469,811
937,시각디자이너,"공업디자인과, 공업디자인학과, 공예과, 공예학과, 광고디자인과, 디지털디자인과, 산업디자인과, 산업디자인학과, 시각디자인과, 시각디자인학과, 조형디자인학과, 컴퓨터디자인학과, 패션디자인과",시각디자인기사,T468,812
