statisYy,sido,genderNm,grdCd,grdNm,accumAcquCnt,yy1AcquCnt,yy2AcquCnt,yy3AcquCnt,yy4AcquCnt,yy5AcquCnt,yy6AcquCnt
2025,제주,여자,31,산업기사,6383,6332,14,14,12,5,6
2025,제주특별자치도,남자,31,산업기사,7,7,0,0,0,0,0
2025,제주특별자치도,여자,31,산업기사,4,4,0,0,0,0,0
2025,충남,남자,31,산업기사,47595,46669,265,252,167,123,119
2025,충남,여자,31,산업기사,12922,12773,43,34,26,25,21
2025,충북,남자,31,산업기사,37182,36575,183,168,121,67,68
2025,충북,여자,31,산업기사,11787,11679,26,34,25,14,9
2025,행정구역미상,남자,31,산업기사,603832,390833,41449,38838,44901,42309,45502
2025,행정구역미상,여자,31,산업기사,145077,92640,11184,9443,10281,10394,11135
2025,강원,남자,32,1급,3,0,2,0,0,1,0
2025,강원,여자,32,1급,48,20,4,14,5,2,3
2025,경기,남자,32,1급,48,37,7,1,2,1,0
2025,경기,여자,32,1급,316,195,32,35,33,7,14
2025,경남,남자,32,1급,7,6,0,0,0,0,1
2025,경남,여자,32,1급,64,35,7,8,7,4,3
2025,경북,남자,32,1급,9,5,2,0,0,1,1
2025,경북,여자,32,1급,34,16,4,7,3,1,3
2025,광주,남자,32,1급,9,5,1,1,2,0,0
2025,광주,여자,32,1급,41,28,4,1,6,1,1
2025,대구,남자,32,1급,15,10,1,1,2,0,1
2025,대구,여자,32,1급,57,31,2,7,7,6,4
2025,대전,남자,32,1급,32,29,2,0,0,1,0
2025,대전,여자,32,1급,121,91,8,6,8,4,4
2025,부산,남자,32,1급,23,20,0,1,0,0,2
2025,부산,여자,32,1급,61,28,9,11,10,3,0
2025,서울,남자,32,1급,96,79,3,6,6,1,1
2025,서울,여자,32,1급,390,228,44,59,31,17,11
2025,울산,남자,32,1급,2,2,0,0,0,0,0
2025,울산,여자,32,1급,12,4,1,3,1,2,1
2025,인천,남자,32,1급,12,9,1,2,0,0,0
2025,인천,여자,32,1급,62,32,8,14,5,3,0
2025,전남,남자,32,1급,3,3,0,0,0,0,0
2025,전남,여자,32,1급,14,7,3,1,1,1,1
2025,전북,남자,32,1급,10,8,0,1,1,0,0
2025,전북,여자,32,1급,41,18,8,7,2,5,1
2025,제주,남자,32,1급,2,2,0,0,0,0,0
2025,제주,여자,32,1급,15,5,2,2,4,2,0
2025,충남,남자,32,1급,12,9,1,1,1,0,0
2025,충남,여자,32,1급,51,34,3,3,5,3,3
2025,충북,남자,32,1급,7,7,0,0,0,0,0
2025,충북,여자,32,1급,36,21,1,7,5,2,0
2025,행정구역미상,남자,32,1급,713,191,73,63,78,179,129
2025,행정구역미상,여자,32,1급,5151,724,415,594,730,1672,1016
2025,강원,남자,33,2급,344,326,7,2,6,2,1
2025,강원,여자,33,2급,903,817,30,24,16,12,4
2025,경기,남자,33,2급,3678,3479,68,58,31,33,9
2025,경기,여자,33,2급,11021,10356,220,168,129,100,48
2025,경남,남자,33,2급,724,661,18,13,12,14,6
2025,경남,여자,33,2급,2260,2017,81,71,50,26,15
2025,경북,남자,33,2급,597,559,16,8,5,7,2
2025,경북,여자,33,2급,1722,1561,60,38,29,21,13
2025,광주,남자,33,2급,488,445,15,5,14,6,3
2025,광주,여자,33,2급,1634,1506,40,25,36,9,18
2025,대구,남자,33,2급,872,818,15,14,11,11,3
2025,대구,여자,33,2급,2841,2647,60,46,40,27,21
2025,대전,남자,33,2급,724,692,13,6,6,5,2
2025,대전,여자,33,2급,1884,1755,43,35,26,18,7
2025,부산,남자,33,2급,1095,1002,35,23,11,13,11
2025,부산,여자,33,2급,3484,3158,114,75,70,40,27
2025,서울,남자,33,2급,4336,4120,75,46,33,44,18
2025,서울,여자,33,2급,12266,11581,212,161,153,107,52
2025,울산,남자,33,2급,245,227,7,4,4,3,0
2025,울산,여자,33,2급,921,815,40,23,16,22,5
2025,인천,남자,33,2급,790,735,20,11,10,7,7
2025,인천,여자,33,2급,2772,2587,65,39,30,34,17
2025,전남,남자,33,2급,271,244,7,7,7,1,5
2025,전남,여자,33,2급,929,805,44,28,25,18,9
2025,전북,남자,33,2급,470,435,9,7,11,8,0
2025,전북,여자,33,2급,1333,1225,43,22,21,14,8
2025,제주,남자,33,2급,161,155,1,1,2,0,2
2025,제주,여자,33,2급,413,362,14,18,6,8,5
2025,충남,남자,33,2급,437,410,11,5,6,4,1
2025,충남,여자,33,2급,1304,1215,25,24,17,14,9
2025,충북,남자,33,2급,363,333,8,8,7,5,2
2025,충북,여자,33,2급,1084,976,31,33,21,10,13
2025,행정구역미상,남자,33,2급,30278,15608,3619,2589,2635,2815,3012
2025,행정구역미상,여자,33,2급,94305,45229,12039,8596,9221,9886,9334
2025,강원,남자,39,단일등급,274,269,2,1,0,2,0
2025,강원,여자,39,단일등급,215,207,3,1,2,1,1
2025,경기,남자,39,단일등급,5411,5325,22,20,15,20,9
2025,경기,여자,39,단일등급,4657,4546,31,19,25,23,13
2025,경남,남자,39,단일등급,445,428,1,6,2,3,5
2025,경남,여자,39,단일등급,331,322,2,2,1,4,0
2025,경북,남자,39,단일등급,320,306,3,1,6,2,2
2025,경북,여자,39,단일등급,259,247,5,2,1,2,2
2025,광주,남자,39,단일등급,227,217,4,1,1,3,1
2025,광주,여자,39,단일등급,480,463,7,6,1,1,2
2025,대구,남자,39,단일등급,450,426,7,6,5,2,4
2025,대구,여자,39,단일등급,370,348,6,5,3,3,5
2025,대전,남자,39,단일등급,467,454,5,2,1,3,2
2025,대전,여자,39,단일등급,497,478,7,4,5,0,3
2025,부산,남자,39,단일등급,706,685,7,4,4,6,0
2025,부산,여자,39,단일등급,726,695,11,6,8,5,1
2025,서울,남자,39,단일등급,7531,7435,27,17,20,17,15
2025,서울,여자,39,단일등급,7147,7028,33,22,27,22,15
2025,울산,남자,39,단일등급,185,178,1,4,0,1,1
2025,울산,여자,39,단일등급,128,123,1,2,1,0,1
2025,인천,남자,39,단일등급,1260,1232,12,4,6,4,2
2025,인천,여자,39,단일등급,1223,1200,5,7,2,5,4
2025,전남,남자,39,단일등급,178,174,1,0,0,1,2
2025,전남,여자,39,단일등급,183,171,6,3,2,1,0
2025,전북,남자,39,단일등급,326,316,2,3,1,1,3
2025,전북,여자,39,단일등급,222,218,2,0,0,1,1
2025,제주,남자,39,단일등급,85,78,2,1,3,1,0
2025,제주,여자,39,단일등급,90,82,1,4,3,0,0
2025,충남,남자,39,단일등급,339,330,6,2,1,0,0
2025,충남,여자,39,단일등급,287,276,5,3,1,1,1
2025,충북,남자,39,단일등급,272,261,2,4,2,0,3
2025,충북,여자,39,단일등급,221,211,2,0,3,3,2
2025,행정구역미상,남자,39,단일등급,13463,7596,1405,965,1125,1044,1328
