major_code,major_name,domain_sub_code_raw,domain_sub_name_raw,domain_main_code_raw,domain_main_name_raw,major_id,domain_label_candidate,source
1094,건축리모델링,141,건축,14,건설,major_qnet_1094,건축,qnet_udept_oblig_list
1095,건축리모델링인테리어과,141,건축,14,건설,major_qnet_1095,건축,qnet_udept_oblig_list
1096,건축메카트로닉스공학과군,141,건축,14,건설,major_qnet_1096,건축,qnet_udept_oblig_list
1097,건축물관리학과,141,건축,14,건설,major_qnet_1097,건축,qnet_udept_oblig_list
1098,건축사회환경공학(과·부),141,건축,14,건설,major_qnet_1098,건축,qnet_udept_oblig_list
1099,건축사회환경시스템공학부,141,건축,14,건설,major_qnet_1099,건축,qnet_udept_oblig_list
1100,건축생활디자인계열,141,건축,14,건설,major_qnet_1100,건축,qnet_udept_oblig_list
1101,건축설계학(공학· 과· 전공),141,건축,14,건설,major_qnet_1101,건축,qnet_udept_oblig_list
1102,건축설계·CAD전공,141,건축,14,건설,major_qnet_1102,건축,qnet_udept_oblig_list
1103,건축설계기술전공,141,건축,14,건설,major_qnet_1103,건축,qnet_udept_oblig_list
1105,건축설비(공학과·공학전공·과),141,건축,14,건설,major_qnet_1105,건축,qnet_udept_oblig_list
1106,건축설비·기계공학부,141,건축,14,건설,major_qnet_1106,건축,qnet_udept_oblig_list
1107,건축설비디자인과,141,건축,14,건설,major_qnet_1107,건축,qnet_udept_oblig_list
1108,건축설비소방과,141,건축,14,건설,major_qnet_1108,건축,qnet_udept_oblig_list
1109,건축설비소방안전전공,141,건축,14,건설,major_qnet_1109,건축,qnet_udept_oblig_list
1110,건축설비시스템공학과,141,건축,14,건설,major_qnet_1110,건축,qnet_udept_oblig_list
1111,건축설비자동화과,141,건축,14,건설,major_qnet_1111,건축,qnet_udept_oblig_list
1112,건축설비학,141,건축,14,건설,major_qnet_1112,건축,qnet_udept_oblig_list
1113,건축설비환경과,141,건축,14,건설,major_qnet_1113,건축,qnet_udept_oblig_list
1114,건축소방안전과,141,건축,14,건설,major_qnet_1114,건축,qnet_udept_oblig_list
1115,건축시공,141,건축,14,건설,major_qnet_1115,건축,qnet_udept_oblig_list
1116,건축시스템공학(과·전공·부·계열),141,건축,14,건설,major_qnet_1116,건축,qnet_udept_oblig_list
1117,건축시스템공학부,141,건축,14,건설,major_qnet_1117,건축,qnet_udept_oblig_list
1118,건축시스템관리과,141,건축,14,건설,major_qnet_1118,건축,qnet_udept_oblig_list
1120,건축실내건축학부,141,건축,14,건설,major_qnet_1120,건축,qnet_udept_oblig_list
1121,건축실내디자인(과·전공·학부),141,건축,14,건설,major_qnet_1121,건축,qnet_udept_oblig_list
1122,건축·건설시스템공학부,141,건축,14,건설,major_qnet_1122,건축,qnet_udept_oblig_list
1123,건축·도시공학과군,141,건축,14,건설,major_qnet_1123,건축,qnet_udept_oblig_list
1124,건축·메카트로닉스공학과군,141,건축,14,건설,major_qnet_1124,건축,qnet_udept_oblig_list
1125,건축·실내디자인과,141,건축,14,건설,major_qnet_1125,건축,qnet_udept_oblig_list
1126,건축·인테리어디자인과,141,건축,14,건설,major_qnet_1126,건축,qnet_udept_oblig_list
1127,건축·토목공학교육학과군,141,건축,14,건설,major_qnet_1127,건축,qnet_udept_oblig_list
1128,건축·환경디자인학부,141,건축,14,건설,major_qnet_1128,건축,qnet_udept_oblig_list
1129,건축안경환경학부,141,건축,14,건설,major_qnet_1129,건축,qnet_udept_oblig_list
1130,건축엔지니어링전공,141,건축,14,건설,major_qnet_1130,건축,qnet_udept_oblig_list
1131,건축인테리어(계열·과·전공·학부),141,건축,14,건설,major_qnet_1131,건축,qnet_udept_oblig_list
1132,건축인테리어리모델링과,141,건축,14,건설,major_qnet_1132,건축,qnet_udept_oblig_list
1133,건축장식과,141,건축,14,건설,major_qnet_1133,건축,qnet_udept_oblig_list
1134,건축학(과·부·전공),141,건축,14,건설,major_qnet_1134,건축,qnet_udept_oblig_list
1135,건축전기설비과,141,건축,14,건설,major_qnet_1135,건축,qnet_udept_oblig_list
1136,건축전기시스템과,141,건축,14,건설,major_qnet_1136,건축,qnet_udept_oblig_list
1137,건축조경토목공학부,141,건축,14,건설,major_qnet_1137,건축,qnet_udept_oblig_list
1138,건축조경학부,141,건축,14,건설,major_qnet_1138,건축,qnet_udept_oblig_list
1139,건축조형계열,141,건축,14,건설,major_qnet_1139,건축,qnet_udept_oblig_list
1140,건축조형예술계열,141,건축,14,건설,major_qnet_1140,건축,qnet_udept_oblig_list
1141,건축컴퓨터공학과군,141,건축,14,건설,major_qnet_1141,건축,qnet_udept_oblig_list
1142,건축토목(계열·공학과군·학부·과),141,건축,14,건설,major_qnet_1142,건축,qnet_udept_oblig_list
1143,건축토목도시공학부,141,건축,14,건설,major_qnet_1143,건축,qnet_udept_oblig_list
1144,건축토목조경학부,141,건축,14,건설,major_qnet_1144,건축,qnet_udept_oblig_list
1145,건축토목환경(공학과군·학부),141,건축,14,건설,major_qnet_1145,건축,qnet_udept_oblig_list
1146,건축토털디자인과,141,건축,14,건설,major_qnet_1146,건축,qnet_udept_oblig_list
1148,건축화학재료공학계열,141,건축,14,건설,major_qnet_1148,건축,qnet_udept_oblig_list
1149,건축환경(과·학과·학부),141,건축,14,건설,major_qnet_1149,건축,qnet_udept_oblig_list
1150,건축환경디자인(과·학과·계열),082,디자인,8,문화·예술·디자인·방송,major_qnet_1150,디자인,qnet_udept_oblig_list
1153,건축환경생명공학부,141,건축,14,건설,major_qnet_1153,건축,qnet_udept_oblig_list
1154,건축환경설계과,141,건축,14,건설,major_qnet_1154,건축,qnet_udept_oblig_list
1155,건축환경설비(과·학과),141,건축,14,건설,major_qnet_1155,건축,qnet_udept_oblig_list
1156,건축환경시스템(과·학부),141,건축,14,건설,major_qnet_1156,건축,qnet_udept_oblig_list
1157,건축환경토목공학과군,141,건축,14,건설,major_qnet_1157,건축,qnet_udept_oblig_list
1158,건축환경화학공학군,141,건축,14,건설,major_qnet_1158,건축,qnet_udept_oblig_list
1159,게임(전공·학과·학부),082,디자인,8,문화·예술·디자인·방송,major_qnet_1159,디자인,qnet_udept_oblig_list
1160,게임·멀티미디어공학전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1160,디자인,qnet_udept_oblig_list
1161,게임·미디어전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1161,디자인,qnet_udept_oblig_list
1162,게임·소프트웨어전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1162,디자인,qnet_udept_oblig_list
1163,게임·애니메이션학과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1163,디자인,qnet_udept_oblig_list
1164,게임개발공학,082,디자인,8,문화·예술·디자인·방송,major_qnet_1164,디자인,qnet_udept_oblig_list
1165,게임공학,082,디자인,8,문화·예술·디자인·방송,major_qnet_1165,디자인,qnet_udept_oblig_list
1166,게임그래픽디자인전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1166,디자인,qnet_udept_oblig_list
1167,게임기획학,082,디자인,8,문화·예술·디자인·방송,major_qnet_1167,디자인,qnet_udept_oblig_list
1168,게임디자인공학,082,디자인,8,문화·예술·디자인·방송,major_qnet_1168,디자인,qnet_udept_oblig_list
1169,게임디자인컨텐츠표준전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1169,디자인,qnet_udept_oblig_list
1171,게임디지털컨텐츠전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1171,디자인,qnet_udept_oblig_list
1172,게임멀티미디어(전공·학과),082,디자인,8,문화·예술·디자인·방송,major_qnet_1172,디자인,qnet_udept_oblig_list
1173,게임소프트웨어(공학)전공,202,전자,20,전기·전자,major_qnet_1173,전자,qnet_udept_oblig_list
1175,게임·멀티미디어(공학)전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1175,디자인,qnet_udept_oblig_list
1176,게임애니메이션(과·전공·학과·학부),082,디자인,8,문화·예술·디자인·방송,major_qnet_1176,디자인,qnet_udept_oblig_list
1177,게임웨어(과·학과),082,디자인,8,문화·예술·디자인·방송,major_qnet_1177,디자인,qnet_udept_oblig_list
1178,게임제작(계열·학과·전공),082,디자인,8,문화·예술·디자인·방송,major_qnet_1178,디자인,qnet_udept_oblig_list
1179,게임창작과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1179,디자인,qnet_udept_oblig_list
1180,게임컨설팅과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1180,디자인,qnet_udept_oblig_list
1181,게임컨텐츠전공(게임콘텐츠전공·스쿨),082,디자인,8,문화·예술·디자인·방송,major_qnet_1181,디자인,qnet_udept_oblig_list
1182,게임프로그래밍학과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1182,디자인,qnet_udept_oblig_list
1183,게임PD전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1183,디자인,qnet_udept_oblig_list
1184,경영공학과,024,생산관리,2,경영·회계·사무,major_qnet_1184,생산관리,qnet_udept_oblig_list
1185,경영정보시스템,024,생산관리,2,경영·회계·사무,major_qnet_1185,생산관리,qnet_udept_oblig_list
1186,경영정보전공(학· 학과· 부),024,생산관리,2,경영·회계·사무,major_qnet_1186,생산관리,qnet_udept_oblig_list
1187,경영통계학전공,211,정보기술,21,정보통신,major_qnet_1187,정보통신,qnet_udept_oblig_list
1188,경찰사이버보안과,202,전자,20,전기·전자,major_qnet_1188,전자,qnet_udept_oblig_list
1189,계산통계학과,202,전자,20,전기·전자,major_qnet_1189,전자,qnet_udept_oblig_list
1190,계측정보처리전공,202,전자,20,전기·전자,major_qnet_1190,전자,qnet_udept_oblig_list
1191,계측정보처리전공,211,정보기술,21,정보통신,major_qnet_1191,정보통신,qnet_udept_oblig_list
1192,계측제어과,202,전자,20,전기·전자,major_qnet_1192,전자,qnet_udept_oblig_list
1193,고분자(과·공학과·공학전공),171,금속·재료,17,재료,major_qnet_1193,기타,qnet_udept_oblig_list
1194,고분자및섬유공학전공,181,화공,18,화학,major_qnet_1194,화공,qnet_udept_oblig_list
1195,고분자섬유디자인공학부,181,화공,18,화학,major_qnet_1195,화공,qnet_udept_oblig_list
1196,고분자시스템공학(과· 전공),181,화공,18,화학,major_qnet_1196,화공,qnet_udept_oblig_list
1197,고분자신소재공학전공,181,화공,18,화학,major_qnet_1197,화공,qnet_udept_oblig_list
1198,고분자·나노공학전공,181,화공,18,화학,major_qnet_1198,화공,qnet_udept_oblig_list
1199,고분자·섬유신소재전공,181,화공,18,화학,major_qnet_1199,화공,qnet_udept_oblig_list
1200,고분자재료공학전공,181,화공,18,화학,major_qnet_1200,화공,qnet_udept_oblig_list
1201,고분자정밀화학공학과,181,화공,18,화학,major_qnet_1201,화공,qnet_udept_oblig_list
1202,고분자학과,181,화공,18,화학,major_qnet_1202,화공,qnet_udept_oblig_list
1203,고분자화학공학부,181,화공,18,화학,major_qnet_1203,화공,qnet_udept_oblig_list
1204,고속전기철도과,163,철도,16,기계,major_qnet_1204,철도,qnet_udept_oblig_list
1205,골프코스관리과,143,조경,14,건설,major_qnet_1205,조경,qnet_udept_oblig_list
1206,공간관리계열,141,건축,14,건설,major_qnet_1206,건축,qnet_udept_oblig_list
1207,공간디자인(학부·전공·학과),082,디자인,8,문화·예술·디자인·방송,major_qnet_1207,디자인,qnet_udept_oblig_list
1208,공간리모델링과,141,건축,14,건설,major_qnet_1208,건축,qnet_udept_oblig_list
1209,공간사회환경공학부,141,건축,14,건설,major_qnet_1209,건축,qnet_udept_oblig_list
1210,공간시스템공학부,141,건축,14,건설,major_qnet_1210,건축,qnet_udept_oblig_list
1211,공간연출과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1211,디자인,qnet_udept_oblig_list
1212,공간연출디자인,141,건축,14,건설,major_qnet_1212,건축,qnet_udept_oblig_list
1213,공간예술과,141,건축,14,건설,major_qnet_1213,건축,qnet_udept_oblig_list
1214,공간조형디자인전공,141,건축,14,건설,major_qnet_1214,건축,qnet_udept_oblig_list
1215,공간조형학부,141,건축,14,건설,major_qnet_1215,건축,qnet_udept_oblig_list
1216,공간진단학부,141,건축,14,건설,major_qnet_1216,건축,qnet_udept_oblig_list
1217,공간환경(전공·학부),141,건축,14,건설,major_qnet_1217,건축,qnet_udept_oblig_list
1218,공간환경디자인전공,141,건축,14,건설,major_qnet_1218,건축,qnet_udept_oblig_list
1219,공간환경시스템(공학부·전공),141,건축,14,건설,major_qnet_1219,건축,qnet_udept_oblig_list
1220,공단유지보수전공,162,기계장비설비·설치,16,기계,major_qnet_1220,기계,qnet_udept_oblig_list
1221,공업경영과,024,생산관리,2,경영·회계·사무,major_qnet_1221,생산관리,qnet_udept_oblig_list
1222,공업교육계열,024,생산관리,2,경영·회계·사무,major_qnet_1222,생산관리,qnet_udept_oblig_list
1223,공업디자인(과·전공·학과),082,디자인,8,문화·예술·디자인·방송,major_qnet_1223,디자인,qnet_udept_oblig_list
1224,공업화학,181,화공,18,화학,major_qnet_1224,화공,qnet_udept_oblig_list
1225,공업화학·화학공학·섬유패션학과군,181,화공,18,화학,major_qnet_1225,화공,qnet_udept_oblig_list
1226,공업화학교육과,181,화공,18,화학,major_qnet_1226,화공,qnet_udept_oblig_list
1227,공업화학섬유고분자화학공학과군,181,화공,18,화학,major_qnet_1227,화공,qnet_udept_oblig_list
1228,공연미디어학부,083,방송,8,문화·예술·디자인·방송,major_qnet_1228,방송,qnet_udept_oblig_list
1229,공연영상예술학부,083,방송,8,문화·예술·디자인·방송,major_qnet_1229,방송,qnet_udept_oblig_list
1230,공연영상제작학부,083,방송,8,문화·예술·디자인·방송,major_qnet_1230,방송,qnet_udept_oblig_list
1231,공연영상학(과·부·전공),083,방송,8,문화·예술·디자인·방송,major_qnet_1231,방송,qnet_udept_oblig_list
1233,공연예술학부,083,방송,8,문화·예술·디자인·방송,major_qnet_1233,방송,qnet_udept_oblig_list
1234,공연의상학과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1234,디자인,qnet_udept_oblig_list
1235,공연학부,083,방송,8,문화·예술·디자인·방송,major_qnet_1235,방송,qnet_udept_oblig_list
1236,공예(과·전공·학과·학부),082,디자인,8,문화·예술·디자인·방송,major_qnet_1236,디자인,qnet_udept_oblig_list
1237,공예디자인(계열·과·학과·학부·전공·학전공),082,디자인,8,문화·예술·디자인·방송,major_qnet_1237,디자인,qnet_udept_oblig_list
1238,공예미술학과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1238,디자인,qnet_udept_oblig_list
1239,공예상품디자인전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1239,디자인,qnet_udept_oblig_list
1240,공장자동화과,024,생산관리,2,경영·회계·사무,major_qnet_1240,생산관리,qnet_udept_oblig_list
1241,공조냉동(과·학과),162,기계장비설비·설치,16,기계,major_qnet_1241,기계,qnet_udept_oblig_list
1242,공조냉동에너지시스템전공,162,기계장비설비·설치,16,기계,major_qnet_1242,기계,qnet_udept_oblig_list
1243,공중보건학,061,보건·의료,6,보건·의료,major_qnet_1243,기타,qnet_udept_oblig_list
1245,과수학과,241,농업,24,농림어업,major_qnet_1245,농업,qnet_udept_oblig_list
