대직무코드,대직무분류,중직무코드,중직무분류,소직무코드,소직무분류,학과,직업,직무코드,자격증명,자격증ID,ncsID
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,데이터분석전문가,M052,23
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,데이터분석준전문가,M053,24
2,경영.회계.사무,2,총무.인사,1,총무,경영전공,"총무사무원,비상대비업무 담당자",221,경영지도사,S023,25
2,경영.회계.사무,2,총무.인사,1,총무,경영전공,"총무사무원,비상대비업무 담당자",221,공인노무사,S028,26
2,경영.회계.사무,2,총무.인사,1,총무,경영전공,"총무사무원,비상대비업무 담당자",221,자산관리사,M082,27
2,경영.회계.사무,2,총무.인사,2,인사조직,경영학,"인사.노무 전문가, 인사.교육.훈련 사무원",222,사회조사분석사,T400,28
2,경영.회계.사무,2,총무.인사,2,인사조직,경영학,"인사.노무 전문가, 인사.교육.훈련 사무원",222,컴퓨터활용능력,T088,29
2,경영.회계.사무,2,총무.인사,2,인사조직,경영학,"인사.노무 전문가, 인사.교육.훈련 사무원",222,워드프로세서,T535,30
2,경영.회계.사무,2,총무.인사,2,인사조직,경영학,"인사.노무 전문가, 인사.교육.훈련 사무원",222,사무자동화산업기사,T394,31
2,경영.회계.사무,2,총무.인사,2,인사조직,경영학,"인사.노무 전문가, 인사.교육.훈련 사무원",222,공인노무사,S028,32
2,경영.회계.사무,2,총무.인사,2,인사조직,경영학,"인사.노무 전문가, 인사.교육.훈련 사무원",222,법무사,S122,33
2,경영.회계.사무,2,총무.인사,2,인사조직,경영학,"인사.노무 전문가, 인사.교육.훈련 사무원",222,경영지도사,S023,34
2,경영.회계.사무,2,총무.인사,2,인사조직,경영학,"인사.노무 전문가, 인사.교육.훈련 사무원",222,ERP인사정보관리사 1급,M008,35
2,경영.회계.사무,2,총무.인사,2,인사조직,경영학,"인사.노무 전문가, 인사.교육.훈련 사무원",222,ERP인사정보관리사 2급,M009,36
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,워드프로세서,T535,37
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,사무자동화산업기사,T394,38
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,비서1급,T385,39
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,컴퓨터활용능력1급,T088,40
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,한글속기1급,T140,41
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,전산회계운용사1급,T621,42
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,비서2급,T386,43
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,컴퓨터활용능력2급,T089,44
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,한글속기2급,T141,45
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,전산회계운용사2급,T622,46
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,비서3급,T387,47
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,한글속기3급,T142,48
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,전산회계운용사3급,T623,49
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,SMAT(서비스경영자격) 1급(컨설턴트),M036,50
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,SMAT(서비스경영자격) 2급(관리자),M037,51
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,SMAT(서비스경영자격) 3급(실무자),M038,52
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,정보기술자격(ITQ) A등급,M112,53
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,정보기술자격(ITQ) B등급,M113,54
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,정보기술자격(ITQ) C등급,M114,55
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,ERP회계정보관리사1급,M010,56
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,ERP회계정보관리사2급,M011,57
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,전산회계1급,M107,58
2,경영.회계.사무,2,총무.인사,3,일반사무,"경영학, 경제학, 비서학과, 행정학과","전산자료입력원 및 사무보조원, 경영지원사무원",223,전산회계2급,M108,59
2,경영.회계.사무,3,재무.회계,1,재무,"경영.경제학, 금융.회계.세무학","재무관리자, 경리사무원",231,전산회계운용사1급,T621,60
2,경영.회계.사무,3,재무.회계,1,재무,"경영.경제학, 금융.회계.세무학","재무관리자, 경리사무원",231,전산회계운용사2급,T622,61
2,경영.회계.사무,3,재무.회계,1,재무,"경영.경제학, 금융.회계.세무학","재무관리자, 경리사무원",231,전산회계운용사3급,T623,62
2,경영.회계.사무,3,재무.회계,1,재무,"경영.경제학, 금융.회계.세무학","재무관리자, 경리사무원",231,경영지도사,S023,63
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,전산회계운용사1급,T621,64
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,전산회계운용사2급,T622,65
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,전산회계운용사3급,T623,66
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,공인회계사,S030,67
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,세무사,S156,68
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,관세사,S043,69
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,전산회계1급,M107,70
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,전산회계2급,M108,71
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,세무회계1급,M079,72
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,세무회계2급,M080,73
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,세무회계3급,M081,74
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,ERP생산정보관리사1급,M006,75
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,ERP생산정보관리사2급,M007,76
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,회계관리1급,M202,77
2,경영.회계.사무,3,재무.회계,2,회계,금융.회계.세무 전공,"회계사, 세무사, 회계 사무원, 감사 사무원, 경리 사무원, 관세사, 조세행정 사무원, 관세행정 사무원",232,회계관리2급,M203,78
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,공장관리기술사,T238,79
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,품질관리기술사,T131,80
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,품질경영기사,T128,81
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,품질경영산업기사,T129,82
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,검량사,S014,83
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,검수사,S015,84
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,물류관리사,S114,85
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,경영지도사,S023,86
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,유통관리사1급,S189,87
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,유통관리사2급,S190,88
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,유통관리사3급,S191,89
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,ERP물류정보관리사1급,M004,90
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,ERP물류정보관리사2급,M005,91
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,ERP생산정보관리사1급,M006,92
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,ERP인사정보관리사2급,M009,93
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,ERP회계정보관리사1급,M010,94
2,경영.회계.사무,4,생산.품질관리,1,생산관리,"산업공학, 경영학, 경영.경제, 경영.사무, 무역.유통학, 무역.유통","총무 사무원 및 대학 행정조교, 물류사무원, 자재.구매 사무원, 생산관리사무원,품질관리사무원",241,ERP회계정보관리사2급,M011,95
2,경영.회계.사무,4,생산.품질관리,2,품질관리,"경영 전공, 산업공학, 산업경영공학 전공","생산관리사무원, 품질관리사무원",242,품질관리기술사,T131,96
2,경영.회계.사무,4,생산.품질관리,2,품질관리,"경영 전공, 산업공학, 산업경영공학 전공","생산관리사무원, 품질관리사무원",242,품질경영기사,T128,97
2,경영.회계.사무,4,생산.품질관리,2,품질관리,"경영 전공, 산업공학, 산업경영공학 전공","생산관리사무원, 품질관리사무원",242,품질경영산업기사,T129,98
2,경영.회계.사무,4,생산.품질관리,2,품질관리,"경영 전공, 산업공학, 산업경영공학 전공","생산관리사무원, 품질관리사무원",242,경영지도사,S023,99
2,경영.회계.사무,4,생산.품질관리,2,품질관리,"경영 전공, 산업공학, 산업경영공학 전공","생산관리사무원, 품질관리사무원",242,ERP생산정보관리사1급,M006,100
2,경영.회계.사무,4,생산.품질관리,2,품질관리,"경영 전공, 산업공학, 산업경영공학 전공","생산관리사무원, 품질관리사무원",242,ERP생산정보관리사2급,M007,101
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,관세사,S043,102
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,검량사,S014,103
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,검수사,S015,104
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,유통관리사1급,S189,105
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,유통관리사2급,S190,106
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,유통관리사3급,S191,107
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,물류관리사,S114,108
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,ERP물류정보관리사1급,M004,109
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,ERP물류정보관리사2급,M005,110
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,ERP생산정보관리사1급,M006,111
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,ERP생산정보관리사2급,M007,112
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,ERP인사정보관리사1급,M008,113
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,ERP인사정보관리사2급,M009,114
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,ERP회계정보관리사1급,M010,115
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,ERP회계정보관리사2급,M011,116
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,원산지관리사,M099,117
2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,"무역.유통, 경영학, 경영.경제, 경영.사무","관세사, 무역사무원, 물류사무원, 자재.구매 사무원",243,보세사,S131,118
3,금융.보험,1,금융,2,금융상품개발,"금융.회계.세무학, 전산학.컴퓨터공학, 응용소프트웨어공학, 통계학, 경제학","금융상품개발자, 보험상품개발자",312,보험계리사,S133,119
3,금융.보험,1,금융,2,금융상품개발,"금융.회계.세무학, 전산학.컴퓨터공학, 응용소프트웨어공학, 통계학, 경제학","금융상품개발자, 보험상품개발자",312,신용관리사,M087,120
3,금융.보험,1,금융,2,금융상품개발,"금융.회계.세무학, 전산학.컴퓨터공학, 응용소프트웨어공학, 통계학, 경제학","금융상품개발자, 보험상품개발자",312,신용위험분석사(CRA),M090,121
3,금융.보험,1,금융,2,금융상품개발,"금융.회계.세무학, 전산학.컴퓨터공학, 응용소프트웨어공학, 통계학, 경제학","금융상품개발자, 보험상품개발자",312,신용분석사,M088,122
3,금융.보험,1,금융,2,금융상품개발,"금융.회계.세무학, 전산학.컴퓨터공학, 응용소프트웨어공학, 통계학, 경제학","금융상품개발자, 보험상품개발자",312,여신심사역,M093,123
3,금융.보험,1,금융,2,금융상품개발,"금융.회계.세무학, 전산학.컴퓨터공학, 응용소프트웨어공학, 통계학, 경제학","금융상품개발자, 보험상품개발자",312,자산관리사(FP),M103,124
3,금융.보험,1,금융,2,금융상품개발,"금융.회계.세무학, 전산학.컴퓨터공학, 응용소프트웨어공학, 통계학, 경제학","금융상품개발자, 보험상품개발자",312,재경관리사,M104,125
3,금융.보험,1,금융,2,금융상품개발,"금융.회계.세무학, 전산학.컴퓨터공학, 응용소프트웨어공학, 통계학, 경제학","금융상품개발자, 보험상품개발자",312,개인보험심사역,M041,126
3,금융.보험,1,금융,2,금융상품개발,"금융.회계.세무학, 전산학.컴퓨터공학, 응용소프트웨어공학, 통계학, 경제학","금융상품개발자, 보험상품개발자",312,기업보험심사역,M048,127
3,금융.보험,1,금융,2,금융상품개발,"금융.회계.세무학, 전산학.컴퓨터공학, 응용소프트웨어공학, 통계학, 경제학","금융상품개발자, 보험상품개발자",312,신용상담사,M089,128
