자격증명,자격증ID,자격증_분류,자격증_등급_코드,등급_분류,2022년 1차 응시자 수,2022년 1차 합격률,2022년 2차 응시자수,2022년 2차 합격률,2022년 3차 응시자수,2022년 3차 합격률,2023년 1차 응시자 수,2023년 1차 합격률,2023년 2차 응시자 수,2023년 2차 합격률,2023년 3차 응시자 수,2023년 3차 합격률,2024년 1차 응시자 수,2024년 1차 합격률,2024년 2차 응시자 수,2024년 2차 합격률,2024년 3차 응시자 수,2024년 3차 합격률,검정 횟수,시험종류,필기,실기,면접,총합,난이도,비고,비고2
네트워크관리사,M050,국가민간자격,2,부분공인 2급,15148,32.66,,,,,17216,32.74,,,,,17039,33.69,,,,,4,필기+실기,1,1,,2,5,총 합격률,
농어촌개발컨설턴트,M051,국가민간자격,1,공인,73,39.73,,,,,77,31.17,,,,,76,46.05,,,,,1,필기+면접,1,,1,2,3,총 합격률,
데이터분석전문가(ADP),M052,국가민간자격,1,"공인 전문가, 준전문가",2737,2.52,,,,,3304,2.12,,,,,2046,2.64,,,,,2,필기+실기,1,1,,2,5,총 합격률,
데이터분석준전문가(ADsP),M053,국가민간자격,1,"공인 전문가, 준전문가",30517,63.28,,,,,44202,64.14,,,,,57849,67.95,,,,,4,필기,1,,,1,1,,
데이터아키텍처전문가(DAP),M054,국가민간자격,2,"공인 전문가, 준전문가",327,8.26,,,,,311,4.82,,,,,357,10.64,,,,,2,필기+실기,1,1,,2,5,총 합격률,
도로교통사고감정사,M055,국가민간자격,1,공인,1003,23.83,,,,,683,22.4,,,,,510,42.75,,,,,1,필기+실기,1,1,,2,5,총 합격률,
디지털정보활용능력(DIAT) 초급,M056,국가민간자격,1,"공인 초급, 중급, 고급",82017,96,,,,,85802,96.58,,,,,82186,96.56,,,,,12,필기+실기,1,1,,2,1,총 합격률,
디지털정보활용능력(DIAT) 중급,M057,국가민간자격,1,"공인 초급, 중급, 고급",82017,86.14,,,,,85802,86.65,,,,,82186,86.67,,,,,12,필기+실기,1,1,,2,1,총 합격률,
디지털정보활용능력(DIAT) 고급,M058,국가민간자격,1,"공인 초급, 중급, 고급",82017,65.26,,,,,85802,65.97,,,,,82186,65.39,,,,,12,필기+실기,1,1,,2,2,총 합격률,
디지털포렌식전문가,M059,국가민간자격,2,부분공인 2급,266,15.04,,,,,460,9.13,,,,,543,11.05,,,,,2,필기+실기,1,1,,2,5,총 합격률,
리눅스마스터 1급,M060,국가민간자격,1,"공인 1급, 2급",1567,14.87,,,,,1774,10.99,,,,,2051,8.97,,,,,2,필기+실기,1,1,,2,5,총 합격률,
리눅스마스터 2급,M061,국가민간자격,1,"공인 1급, 2급",13168,23.04,,,,,16479,21.71,,,,,19737,25.82,,,,,5,필기+필기,2,,,2,4,총 합격률,
매경TEST 최우수,M062,국가민간자격,2,"부분공인 최우수, 우수",,,,,,,,,,,,,,,,,,,8,필기,1,,,1,,2013~2020 합격률만 존재함,
매경TEST 우수,M063,국가민간자격,2,"부분공인 최우수, 우수",,,,,,,,,,,,,,,,,,,8,필기,1,,,1,,2013~2020 합격률만 존재함,
무역영어 1급,M064,국가민간자격,1,공인,13230,19.09,,,,,12313,17.79,,,,,12974,19.52,,,,,8,필기,1,,,1,5,"22,23년도는 검정횟수 52",
반려견스타일리스트 1급,M065,국가민간자격,2,"부분공인 1급, 2급, 3급",82,52.44,,,,,74,40.54,,,,,116,51.72,,,,,6,필기+실기,1,1,,2,3,총 합격률,
반려견스타일리스트 2급,M066,국가민간자격,2,"부분공인 1급, 2급, 3급",1331,45.08,,,,,1148,43.73,,,,,1137,56.99,,,,,6,필기+실기,1,1,,2,3,총 합격률,
반려견스타일리스트 3급,M067,국가민간자격,2,"부분공인 1급, 2급, 3급",3501,54.78,,,,,3383,58.11,,,,,3029,69.73,,,,,6,필기+실기,1,1,,2,2,총 합격률,
병원행정사,M068,국가민간자격,1,공인,2549,76.38,,,,,2405,81.79,,,,,2188,76.28,,,,,1,필기,1,,,1,1,,
보상관리사,M069,국가민간자격,1,공인,168,55.95,,,,,140,55,,,,,201,58.21,,,,,1,필기+필기,1,,,1,1,"총 합격률, 2차는 논문형, 2023년부터 공인",
보행지도사,M070,국가민간자격,1,공인,146,19.18,,,,,185,17.3,,,,,259,21.24,,,,,2,필기+실기,1,1,,2,5,"총 합격률, 실기(면접형)",
분재관리사 전문관리사,M071,국가민간자격,1,"공인 전문관리사, 1급, 2급",25,16,,,,,19,36.84,,,,,10,60,,,,,1,필기+실기,1,1,,2,3,총 합격률,
