cert_id,cert_name,canonical_name,normalized_key,aliases,issuer,is_active,cert_type,grade_name,primary_domain,top_domain,domain_name_raw,source,written_avg_pass_rate,practical_avg_pass_rate,avg_pass_rate_3yr,cert_grade_tier,exam_difficulty,exam_type_info,exam_pass_rate,exam_frequency,exam_subject_info,exam_fee_info,exam_eligibility_info
cert_0031,토목품질시험기술사,토목품질시험기술사,토목품질시험기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,7.699999999999999,66.7,35.03,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 35.0%,연 2회,필기 + 실기,,
cert_0032,건축구조기술사,건축구조기술사,건축구조기술사,,Q-Net,True,국가기술자격,기술사,10,엔지니어링/산업기술,건축,qnet_major_list_2025,2.3666666666666667,47.16666666666666,26.8,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 26.8%,연 3회,필기 + 실기,,
cert_0033,건축기술사(건축설비),건축기술사(건축설비),건축기술사(건축설비),,Q-Net,True,국가기술자격,기술사,10,엔지니어링/산업기술,건축,qnet_major_list_2025,,,33.0,4_기술사,,,,연 2회,,,
cert_0034,건축기계설비기술사,건축기계설비기술사,건축기계설비기술사,,Q-Net,True,국가기술자격,기술사,10,엔지니어링/산업기술,건축,qnet_major_list_2025,6.333333333333333,41.13333333333333,29.13,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 24.9%,연 3회,필기 + 실기,,
cert_0035,건축전기설비기술사,건축전기설비기술사,건축전기설비기술사,,Q-Net,True,국가기술자격,기술사,5,엔지니어링/산업기술,전기,qnet_major_list_2025,2.2666666666666666,46.6,50.27,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 25.9%,연 3회,필기 + 실기,,
cert_0036,건축시공기술사,건축시공기술사,건축시공기술사,,Q-Net,True,국가기술자격,기술사,10,엔지니어링/산업기술,건축,qnet_major_list_2025,7.166666666666667,50.833333333333336,80.0,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 30.2%,연 3회,필기 + 실기,,
cert_0037,건축품질시험기술사,건축품질시험기술사,건축품질시험기술사,,Q-Net,True,국가기술자격,기술사,10,엔지니어링/산업기술,건축,qnet_major_list_2025,2.0,100.0,45.37,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 46.8%,연 1회,필기 + 실기,,
cert_0038,섬유기술사,섬유기술사,섬유기술사,,Q-Net,True,국가기술자격,기술사,32,교육/생활서비스,섬유,qnet_major_list_2025,16.7,50.0,48.27,4_기술사,4.0,필기+실기+면접,최근 평균 합격률(종합): 56.6%,연 1회,필기 + 실기 + 면접,,
cert_0039,의류기술사,의류기술사,의류기술사,,Q-Net,True,국가기술자격,기술사,32,교육/생활서비스,섬유,qnet_major_list_2025,20.0,42.9,36.95,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 38.1%,연 1회,필기 + 실기,,
cert_0040,자원관리기술사,자원관리기술사,자원관리기술사,,Q-Net,True,국가기술자격,기술사,39,1차산업/자원,채광,qnet_major_list_2025,30.1,72.33,51.22,4_기술사,4.0,필기+실기+면접,최근 평균 합격률(종합): 51.2%,연 1회,필기 + 실기 + 면접,,
cert_0041,광해방지기술사,광해방지기술사,광해방지기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,광해방지,qnet_major_list_2025,22.23,38.9,85.83,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 30.6%,연 1회,필기 + 실기,,
cert_0042,화약류관리기술사,화약류관리기술사,화약류관리기술사,,Q-Net,True,국가기술자격,기술사,39,1차산업/자원,채광,qnet_major_list_2025,8.3,0.0,40.95,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 41.0%,연 1회,필기 + 실기,,
cert_0043,정보관리기술사,정보관리기술사,정보관리기술사,,Q-Net,True,국가기술자격,기술사,2,IT/디지털,정보기술,qnet_major_list_2025,2.333333333333333,61.8,21.45,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 39.0%,연 3회,필기 + 실기,,
cert_0044,정보통신기술사,정보통신기술사,정보통신기술사,,Q-Net,True,국가기술자격,기술사,4,IT/디지털,통신,qnet_major_list_2025,5.44,52.59,44.23,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 29.0%,연 3회,필기 + 실기 + 면접,,
cert_0045,컴퓨터시스템응용기술사,컴퓨터시스템응용기술사,컴퓨터시스템응용기술사,,Q-Net,True,국가기술자격,기술사,2,IT/디지털,정보기술,qnet_major_list_2025,10.35,61.150000000000006,40.13,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 41.2%,연 2회,필기 + 실기,,
