major_id,major_name,normalized_key,source_id,is_active
major_qnet_3537,전자계산환경과학과군,전자계산환경과학과군,qnet_udept_oblig_list,True
major_qnet_3538,"전자공학(과,부,전공)",전자공학과부전공,qnet_udept_oblig_list,True
major_qnet_3539,전자공학교육과,전자공학교육과,qnet_udept_oblig_list,True
major_qnet_3540,전자공학컴퓨터학계열,전자공학컴퓨터학계열,qnet_udept_oblig_list,True
major_qnet_3541,전자광공학부,전자광공학부,qnet_udept_oblig_list,True
major_qnet_3542,전자기계공학부,전자기계공학부,qnet_udept_oblig_list,True
major_qnet_3543,전자기기학과,전자기기학과,qnet_udept_oblig_list,True
major_qnet_3544,전자디자인전공,전자디자인전공,qnet_udept_oblig_list,True
major_qnet_3545,전자매체공학부,전자매체공학부,qnet_udept_oblig_list,True
major_qnet_3546,전자매체공학부(전자물리학),전자매체공학부전자물리학,qnet_udept_oblig_list,True
major_qnet_3547,"전자물리학(과,부,전공)",전자물리학과부전공,qnet_udept_oblig_list,True
major_qnet_3548,전자미디어공학전공,전자미디어공학전공,qnet_udept_oblig_list,True
major_qnet_3549,전자미디어과,전자미디어과,qnet_udept_oblig_list,True
major_qnet_3550,전자및정보공학부,전자및정보공학부,qnet_udept_oblig_list,True
major_qnet_3551,전자및통신공학전공,전자및통신공학전공,qnet_udept_oblig_list,True
major_qnet_3552,전자및항공전자공학전공,전자및항공전자공학전공,qnet_udept_oblig_list,True
major_qnet_3553,전자상거래학,전자상거래학,qnet_udept_oblig_list,True
major_qnet_3554,"전자시스템공학(과,부,전공)",전자시스템공학과부전공,qnet_udept_oblig_list,True
major_qnet_3555,전자신소재(공학)과,전자신소재공학과,qnet_udept_oblig_list,True
major_qnet_3556,전자ㆍ시스템공학부,전자시스템공학부,qnet_udept_oblig_list,True
major_qnet_3557,전자ㆍ시스템ㆍ정보공학부,전자시스템정보공학부,qnet_udept_oblig_list,True
major_qnet_3558,전자ㆍ전산ㆍ전파공학부,전자전산전파공학부,qnet_udept_oblig_list,True
major_qnet_3559,전자ㆍ전자통신ㆍ컴퓨터공학부,전자전자통신컴퓨터공학부,qnet_udept_oblig_list,True
major_qnet_3560,"전자ㆍ정보통신공학(부,전공군)",전자정보통신공학부전공군,qnet_udept_oblig_list,True
major_qnet_3561,전자응용계열,전자응용계열,qnet_udept_oblig_list,True
major_qnet_3562,전자의용공학부,전자의용공학부,qnet_udept_oblig_list,True
major_qnet_3563,전자재료공학,전자재료공학,qnet_udept_oblig_list,True
major_qnet_3564,전자재료과학전공,전자재료과학전공,qnet_udept_oblig_list,True
major_qnet_3565,전자재료응용학과,전자재료응용학과,qnet_udept_oblig_list,True
major_qnet_3567,"전자전기공학(과,부,전공)",전자전기공학과부전공,qnet_udept_oblig_list,True
major_qnet_3568,전자전기정보공학부,전자전기정보공학부,qnet_udept_oblig_list,True
major_qnet_3569,전자전기정보컴퓨터공학부,전자전기정보컴퓨터공학부,qnet_udept_oblig_list,True
major_qnet_3570,전자전기정보통신공학부,전자전기정보통신공학부,qnet_udept_oblig_list,True
major_qnet_3571,전자전기제어공학과,전자전기제어공학과,qnet_udept_oblig_list,True
major_qnet_3572,"전자전기컴퓨터공학(부,전공)",전자전기컴퓨터공학부전공,qnet_udept_oblig_list,True
major_qnet_3573,전자전기컴퓨터학부,전자전기컴퓨터학부,qnet_udept_oblig_list,True
major_qnet_3574,"전자전기통신공학(부,전공)",전자전기통신공학부전공,qnet_udept_oblig_list,True
major_qnet_3575,전자전산공학과,전자전산공학과,qnet_udept_oblig_list,True
major_qnet_3576,전자전산전파공학부,전자전산전파공학부,qnet_udept_oblig_list,True
major_qnet_3577,전기전자계열,전기전자계열,qnet_udept_oblig_list,True
major_qnet_3579,전자전파계열,전자전파계열,qnet_udept_oblig_list,True
major_qnet_3580,전자전파공학전공,전자전파공학전공,qnet_udept_oblig_list,True
major_qnet_3581,전자전파정보통신전공,전자전파정보통신전공,qnet_udept_oblig_list,True
major_qnet_3582,"전자정보(과,전공,계열)",전자정보과전공계열,qnet_udept_oblig_list,True
major_qnet_3583,"전자정보공학(과,부,전공)",전자정보공학과부전공,qnet_udept_oblig_list,True
major_qnet_3584,전자정보공학·제어계측공학과군,전자정보공학제어계측공학과군,qnet_udept_oblig_list,True
major_qnet_3585,전자정보공학제어계측공학과군,전자정보공학제어계측공학과군,qnet_udept_oblig_list,True
major_qnet_3586,전자정보기술전공,전자정보기술전공,qnet_udept_oblig_list,True
major_qnet_3587,전자정보보호공학부,전자정보보호공학부,qnet_udept_oblig_list,True
major_qnet_3588,전자정보산업학부,전자정보산업학부,qnet_udept_oblig_list,True
major_qnet_3589,전자정보시스템공학전공,전자정보시스템공학전공,qnet_udept_oblig_list,True
major_qnet_3590,전자정보응용과,전자정보응용과,qnet_udept_oblig_list,True
major_qnet_3591,전자정보전기공학부,전자정보전기공학부,qnet_udept_oblig_list,True
major_qnet_3592,"전자정보통신(과,전공,계열)",전자정보통신과전공계열,qnet_udept_oblig_list,True
major_qnet_3593,"전자정보통신공학(과,부,군,전공)",전자정보통신공학과부군전공,qnet_udept_oblig_list,True
major_qnet_3594,전자정보통신반도체공학부,전자정보통신반도체공학부,qnet_udept_oblig_list,True
major_qnet_3595,전자정보통신제어계열,전자정보통신제어계열,qnet_udept_oblig_list,True
major_qnet_3596,전자정보통신컴퓨터공학부,전자정보통신컴퓨터공학부,qnet_udept_oblig_list,True
major_qnet_3597,"전자정보학(과,부)",전자정보학과부,qnet_udept_oblig_list,True
major_qnet_3598,전자제도공학전공,전자제도공학전공,qnet_udept_oblig_list,True
major_qnet_3599,"전자제어공학(과,부)",전자제어공학과부,qnet_udept_oblig_list,True
major_qnet_3600,전자제어과,전자제어과,qnet_udept_oblig_list,True
major_qnet_3601,전자제어통신공학부,전자제어통신공학부,qnet_udept_oblig_list,True
major_qnet_3602,전자출판,전자출판,qnet_udept_oblig_list,True
major_qnet_3603,전자출판디자인과,전자출판디자인과,qnet_udept_oblig_list,True
major_qnet_3604,전자출판인쇄전공,전자출판인쇄전공,qnet_udept_oblig_list,True
major_qnet_3605,전자컴퓨터계열,전자컴퓨터계열,qnet_udept_oblig_list,True
major_qnet_3606,전자컴퓨터공학부,전자컴퓨터공학부,qnet_udept_oblig_list,True
major_qnet_3607,전자컴퓨터전기제어공학(부ㆍ과ㆍ전공),전자컴퓨터전기제어공학부과전공,qnet_udept_oblig_list,True
major_qnet_3608,"전자컴퓨터전기제어공학(부,과,전공)",전자컴퓨터전기제어공학부과전공,qnet_udept_oblig_list,True
major_qnet_3609,전자컴퓨터정보통신공학부,전자컴퓨터정보통신공학부,qnet_udept_oblig_list,True
major_qnet_3610,"전자통신(과,전공,계열)",전자통신과전공계열,qnet_udept_oblig_list,True
major_qnet_3611,"전자통신공학(과,부,전공,전공군,계열)",전자통신공학과부전공전공군계열,qnet_udept_oblig_list,True
major_qnet_3612,전자통신시스템학과,전자통신시스템학과,qnet_udept_oblig_list,True
major_qnet_3613,전자통신전기공학부,전자통신전기공학부,qnet_udept_oblig_list,True
major_qnet_3614,전자통신전파공학(과ㆍ부ㆍ전공),전자통신전파공학과부전공,qnet_udept_oblig_list,True
major_qnet_3615,전자통신정보공학부,전자통신정보공학부,qnet_udept_oblig_list,True
major_qnet_3616,전자통신컴퓨터공학부,전자통신컴퓨터공학부,qnet_udept_oblig_list,True
major_qnet_3617,전자통신컴퓨터멀티미디어공학부,전자통신컴퓨터멀티미디어공학부,qnet_udept_oblig_list,True
major_qnet_3618,"전자통신학(과,부)",전자통신학과부,qnet_udept_oblig_list,True
major_qnet_3619,전자편집디자인과,전자편집디자인과,qnet_udept_oblig_list,True
major_qnet_3621,전자회로설계전공,전자회로설계전공,qnet_udept_oblig_list,True
major_qnet_3622,전자회로실무과,전자회로실무과,qnet_udept_oblig_list,True
major_qnet_3623,전자PCB계열,전자pcb계열,qnet_udept_oblig_list,True
major_qnet_3624,전통건강자원개발과,전통건강자원개발과,qnet_udept_oblig_list,True
major_qnet_3625,전통도예전공,전통도예전공,qnet_udept_oblig_list,True
major_qnet_3626,전통미술공예학과,전통미술공예학과,qnet_udept_oblig_list,True
major_qnet_3627,전통발효식품,전통발효식품,qnet_udept_oblig_list,True
major_qnet_3628,전통복식과,전통복식과,qnet_udept_oblig_list,True
