section,category,pct_isolated,pct_general,n_iso,n_gen,chi2,p_value,cohen_h,diff_pct,significant
【A7】 외출 빈도,"보통은 집에 있지만, 인근 편의점 등에 외출한다",24.28,4.217,486,5027,316.9661,0.0,0.6168,20.063,True
【B12_3】 우울 척도▶잠들기가 어렵거나 자주 깼다/혹은 너무 많이 잤다.,거의 매일,27.366,5.789,486,5027,290.6281,0.0,0.6151,21.577,True
【C8_1】 서울시 고립·은둔청년 지원 사업 인지 경로,서울청년포털 홈페이지를 통해,46.377,18.299,486,5027,211.0619,0.0,0.6142,28.078,True
【B1_1】 평소 생활 패턴▶나는 우리 가족과 친밀한 편이다,Top2(④+⑤),32.716,62.841,486,5027,167.8283,0.0,0.6127,-30.125,True
【A2_1_7】 미취업 이유▶인간관계에 대한 부담감 때문에,아니오 (해당하지 않음),52.055,80.371,486,5027,206.0836,0.0,0.6117,-28.316,True
【A2_1_7】 미취업 이유▶인간관계에 대한 부담감 때문에,예 (해당함),47.945,19.629,486,5027,206.0836,0.0,0.6117,28.316,True
【B11_1】 약물 복용 기간,6~12개월 미만,6.383,28.272,486,5027,109.4399,0.0,0.6104,-21.889,True
【B12_9】 우울 척도▶차라리 죽는 것이 더 낫겠다고 생각했다/혹은 자해할 생각을 했다.,없음,43.416,72.111,486,5027,172.3983,0.0,0.5901,-28.695,True
【B1_2】 평소 생활 패턴▶나는 평소 가족과 대화를 자주 하는 편이다,Top2(④+⑤),27.366,55.5,486,5027,140.8215,0.0,0.58,-28.134,True
【A13_1】 물리적 고립▶가족들과의 대면 교류,전혀없다,14.403,1.015,486,5027,370.0661,0.0,0.5767,13.388,True
【B1_2】 평소 생활 패턴▶나는 평소 가족과 대화를 자주 하는 편이다,전혀그렇지않다,17.695,2.148,486,5027,315.4996,0.0,0.5742,15.547,True
"【A13_4】 물리적 고립▶이외 직장, 학교, 동네에서 알고 지내는 사람들과 대면 교류(업무 상 교류 제외)",한 달에한두 번,4.733,23.473,486,5027,91.2354,0.0,0.5729,-18.74,True
【C7x2】 심리 상담▶제공 기간,6개월 이상,59.777,31.645,486,5027,157.0473,0.0,0.5727,28.132,True
【B1_1】 평소 생활 패턴▶나는 우리 가족과 친밀한 편이다,전혀그렇지않다,16.255,1.671,486,5027,328.5149,0.0,0.5707,14.584,True
【A5】 가정의 주관적 사회경제적 수준,하,22.098,4.152,486,5027,261.5793,0.0,0.5684,17.946,True
【A12_4_1 TO A12_4_4】 정서적 고립▶낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람,가족/친척,29.63,57.052,486,5027,134.4534,0.0,0.5611,-27.422,True
【C7x7】 가족에 대한 교육과 상담▶제공 기간,6개월 이상,59.615,32.095,486,5027,149.1775,0.0,0.5597,27.52,True
【B10】 주관적 건강상태,나쁜 편이다,32.51,10.324,486,5027,202.4966,0.0,0.5592,22.186,True
【A18_1】 외로움 척도▶나는 나와 같이 있어 줄 사람이 부족하다,Bottom2(①+②),30.041,57.012,486,5027,130.0643,0.0,0.5513,-26.971,True
