var,axis,label,section,category,pct_iso,pct_gen,diff,h,n_iso,n_gen
A11,축1_관계형성,교류 횟수(2주),【A11】 지난 2주 동안 교류 횟수,11회 이상,7.0,13.9,-6.9,0.227,369,4985
A1,축2_사회이행,지난주 노동 여부,【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,가족/친척,52.5,77.2,-24.7,0.525,486,5027
A1,축2_사회이행,지난주 노동 여부,【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,친구,20.0,75.0,-55.0,1.168,486,5027
A1,축2_사회이행,지난주 노동 여부,【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,"그 외 타인 (이웃, 직장동료 등)",8.4,27.4,-19.0,0.513,486,5027
A1,축2_사회이행,지난주 노동 여부,【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,없음,36.8,3.2,33.6,0.942,486,5027
A1,축2_사회이행,지난주 노동 여부,"【A12_2_1 TO A12_2_4】 정서적 고립▶급한 일이 있을 때, 부탁할 수 있는 사람",가족/친척,52.3,77.5,-25.2,0.537,486,5027
A1,축2_사회이행,지난주 노동 여부,"【A12_2_1 TO A12_2_4】 정서적 고립▶급한 일이 있을 때, 부탁할 수 있는 사람",친구,14.4,63.3,-48.9,1.062,486,5027
A1,축2_사회이행,지난주 노동 여부,"【A12_2_1 TO A12_2_4】 정서적 고립▶급한 일이 있을 때, 부탁할 수 있는 사람","그 외 타인 (이웃, 직장동료 등)",3.5,18.2,-14.7,0.506,486,5027
A1,축2_사회이행,지난주 노동 여부,"【A12_2_1 TO A12_2_4】 정서적 고립▶급한 일이 있을 때, 부탁할 수 있는 사람",없음,39.3,3.3,36.0,0.987,486,5027
A1,축2_사회이행,지난주 노동 여부,"【A12_3_1 TO A12_3_4】 정서적 고립▶개인적으로 돈을 빌려야 할 때, 부탁할 수 있는 사람",가족/친척,50.0,76.0,-26.0,0.548,486,5027
A1,축2_사회이행,지난주 노동 여부,"【A12_3_1 TO A12_3_4】 정서적 고립▶개인적으로 돈을 빌려야 할 때, 부탁할 수 있는 사람",친구,7.4,43.2,-35.8,0.883,486,5027
A1,축2_사회이행,지난주 노동 여부,"【A12_3_1 TO A12_3_4】 정서적 고립▶개인적으로 돈을 빌려야 할 때, 부탁할 수 있는 사람","그 외 타인 (이웃, 직장동료 등)",2.3,12.0,-9.7,0.405,486,5027
A1,축2_사회이행,지난주 노동 여부,"【A12_3_1 TO A12_3_4】 정서적 고립▶개인적으로 돈을 빌려야 할 때, 부탁할 수 있는 사람",없음,45.7,7.7,37.9,0.92,486,5027
A1,축2_사회이행,지난주 노동 여부,【A12_4_1 TO A12_4_4】 정서적 고립▶낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람,가족/친척,29.6,57.1,-27.4,0.561,486,5027
A1,축2_사회이행,지난주 노동 여부,【A12_4_1 TO A12_4_4】 정서적 고립▶낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람,친구,16.5,65.4,-48.9,1.048,486,5027
